lat,lon,road_class
13.7216782,100.5527013,motorway
13.7405453,100.5506945,motorway
13.742339,100.5504493,motorway
13.7771047,100.5324671,motorway
13.7788755,100.5327671,motorway
14.0136063,100.5742715,motorway
14.0164333,100.5750704,motorway
14.0195795,100.5759716,motorway
14.0215364,100.5764893,motorway
14.0235012,100.5770096,motorway
14.0252655,100.5774897,motorway
14.0298468,100.5788027,motorway
14.032196,100.5794547,motorway
14.035022,100.5801129,motorway
14.0369874,100.5804632,motorway
14.0400601,100.5807712,motorway
13.7401576,100.4995422,primary
13.7370939,100.497184,primary
13.7349984,100.4959908,primary
13.7367576,100.4966883,primary
13.7400634,100.4992188,primary
13.7092107,100.82066,motorway
13.7154409,100.817598,motorway
13.7124409,100.8190873,motorway
13.7246854,100.8130505,motorway
13.7214862,100.8146319,motorway
13.7280953,100.811377,motorway
13.8571972,100.675616,motorway
13.8554569,100.6749921,motorway
13.8958867,100.6926361,motorway
13.8932871,100.6912715,motorway
13.8903416,100.6897292,motorway
13.8880118,100.6885093,motorway
13.9070449,100.6983658,motorway
13.9002774,100.6948161,motorway
13.981049,100.7130982,motorway
13.983703,100.713144,motorway
13.985763,100.7131898,motorway
13.9877484,100.7131832,motorway
13.9898501,100.7127719,motorway
13.991618,100.7120835,motorway
13.9078316,100.6987713,motorway
13.9077992,100.6985362,motorway
13.9115023,100.7004674,motorway
13.9143665,100.7019411,motorway
13.9170372,100.7033322,motorway
13.9191519,100.7043107,motorway
13.9213318,100.7050813,motorway
13.923502,100.7056439,motorway
13.9070271,100.698127,motorway
13.8937518,100.6912224,motorway
13.8963081,100.6925503,motorway
13.9045631,100.6968307,motorway
13.8763717,100.6824812,motorway
13.8740068,100.6812406,motorway
13.8697176,100.6790363,motorway
13.8679385,100.6781916,motorway
13.8578063,100.6757702,motorway
13.8770533,100.6828364,motorway
13.8765552,100.6823703,motorway
13.8771958,100.6826988,motorway
13.8875454,100.6880602,motorway
13.8572493,100.6754305,motorway
13.8669052,100.67771,motorway
13.8688682,100.6783959,motorway
13.8729471,100.6804866,motorway
13.8555335,100.6748024,motorway
13.8538748,100.6741257,motorway
13.8506775,100.6728992,motorway
13.8527694,100.6736509,motorway
13.8459505,100.6726164,motorway
13.8456155,100.6724104,motorway
13.8460566,100.6724459,motorway
13.8482693,100.6725942,motorway
13.8503279,100.6728133,motorway
13.8324954,100.6739389,motorway
13.8343675,100.6738286,motorway
13.8368361,100.6732952,motorway
13.8239473,100.6744689,motorway
13.8269408,100.6742062,motorway
13.7665701,100.6932298,motorway
13.7669168,100.693257,motorway
13.7637338,100.6949857,motorway
13.7620474,100.6959016,motorway
13.767578,100.6929079,motorway
13.7605517,100.6967138,motorway
13.7603632,100.6965997,motorway
13.7598088,100.6968891,motorway
13.7465351,100.7027245,motorway
13.7439782,100.7027798,motorway
13.7136376,100.700336,motorway
13.712649,100.7001097,motorway
13.7134424,100.7001393,motorway
13.7128735,100.7003078,motorway
13.7076411,100.7000389,motorway
13.7051716,100.6999406,motorway
13.7026796,100.6998441,motorway
13.6953649,100.6995563,motorway
13.6956538,100.6995571,motorway
13.6999998,100.6995847,motorway
